name,unit,toRoot,text
kilogram,kg,1,"The kilogram (kg) is the base unit of mass in the International System of Units (SI). Originally defined as the mass of one liter of water at its freezing point, the kilogram is now defined based on the Planck constant, ensuring precision and universality. It is used globally in science, industry, and everyday life to measure mass."
gram,g,1e3,"The gram (g) is a metric unit of mass equal to one-thousandth of a kilogram. It is widely used in various applications, including cooking, nutrition, and science, where smaller quantities of mass need to be measured. The gram's practicality makes it a common unit for everyday use."
milligram,mg,1e6,"The milligram (mg) is a unit of mass equal to one-thousandth of a gram, or one-millionth of a kilogram. It is frequently used in fields such as medicine, pharmacology, and chemistry to measure very small quantities of substances with high precision."
microgram,µg,1e9,"The microgram (µg) is a unit of mass equal to one-millionth of a gram, or one-billionth of a kilogram. It is used in scientific research, medicine, and environmental studies to measure extremely small amounts of material. The microgram's precision is essential for accurate dosing and measurement at minute scales."
nanogram,ng,1e12,"The nanogram (ng) is a unit of mass equal to one-billionth of a gram, or one-trillionth of a kilogram. It is used in highly specialized scientific research, including molecular biology and nanotechnology, to measure minute quantities of substances."
tonne,t,1e-3,"The tonne, also known as the metric ton, is a unit of mass equal to 1,000 kilograms. It is used worldwide in commerce and industry to measure large quantities of material, such as in shipping, construction, and manufacturing. The tonne provides a convenient metric for large-scale mass measurements."
metric ton,t,1e-3,"The metric ton (t) is synonymous with the tonne, equal to 1,000 kilograms. It is widely used in industries such as shipping, agriculture, and construction to measure large quantities of goods and materials."
carat,ct,5e3,"The carat (ct) is a unit of mass used for measuring gemstones and pearls, equal to 200 milligrams, or 0.2 grams. The carat's standardization ensures consistency in the valuation and trading of precious stones in the jewelry industry."
pound,lb,2.2046226218487757,"The pound (lb) is a unit of mass used primarily in the United States and the United Kingdom, equal to approximately 0.45359237 kilograms. It is commonly used in daily life for measuring body weight, food, and other goods. The pound's historical use dates back to ancient Roman times."
ounce,oz,35.27396194958041,"The ounce (oz) is a unit of mass used in the imperial system, equal to one-sixteenth of a pound or approximately 28.3495 grams. It is commonly used to measure small quantities, such as food ingredients and postal items. The ounce is widely recognized in the United States and other countries that use the imperial system."
stone,st,0.1574730444177697,"The stone (st) is a unit of mass used in the United Kingdom and Ireland, equal to 14 pounds or approximately 6.35 kilograms. It is traditionally used for measuring body weight. The stone's historical use in Britain dates back to medieval times."
grain,gr,15432.358352941431,"The grain (gr) is a unit of mass equal to approximately 64.79891 milligrams. It is used in various fields, including agriculture, pharmacology, and ballistics, to measure very small quantities of material. The grain's origin as a unit of measurement is ancient, based on the weight of a single grain of cereal."
ton,,9.842065276110606e-4,"The ton is a unit of mass commonly used in the United States and Canada, equal to 2,000 pounds or approximately 907.185 kilograms. It is used to measure large quantities of materials, especially in industrial and commercial contexts. The ton is distinct from the metric tonne, which is slightly larger."
short ton,ton,9.842065276110606e-4,"The short ton, also known simply as a ton in the United States, is equal to 2,000 pounds or approximately 907.185 kilograms. It is used in various industries to measure large amounts of material, particularly in the United States."
long ton,long ton,8.857989049253736e-4,"The long ton, also known as the British ton, is a unit of mass equal to 2,240 pounds or approximately 1,016.05 kilograms. It is used primarily in the United Kingdom for large-scale mass measurements, particularly in shipping and industry."
quintal,q,0.01,"The quintal is a unit of mass commonly used in agriculture and trade, equal to 100 kilograms. It is used to measure larger quantities of agricultural products, such as grains and produce. The quintal is widely used in Europe, Asia, and Latin America."
dram,dr,564.3833911932867,"The dram (dr) is a unit of mass in the imperial system, equal to one-sixteenth of an ounce or approximately 1.771845 grams. It is used in medicine, pharmacology, and cooking to measure small quantities of substances."
hundredweight,cwt,0.01968413055222121,"The hundredweight (cwt) is a unit of mass used in the United Kingdom and the United States, with different definitions in each country. In the UK, it is equal to 112 pounds or approximately 50.8 kilograms, while in the US, it is equal to 100 pounds or approximately 45.36 kilograms."
slug,,6.852176585,"The slug is a unit of mass used in the imperial system, primarily in physics and engineering, equal to approximately 14.5939 kilograms. It is used to measure mass in the context of force and motion, particularly in mechanical and aerospace engineering."
atomic mass unit,amu,6.02214076e26,"The atomic mass unit (amu) is a unit of mass used to express atomic and molecular weights, approximately equal to 1.66053906660 * 10^-27 kilograms. It is fundamental in chemistry and physics for describing the mass of atoms and molecules."
planck mass,m_P,7.646371e8,"The Planck mass (m_P) is a unit of mass in the system of natural units known as Planck units, approximately equal to 2.176434 * 10^-8 kilograms. It is significant in theoretical physics and quantum mechanics for describing scales at which quantum gravitational effects become strong."
troy ounce,ozt,32.150746568628365,"The troy ounce (ozt) is a unit of mass used in the measurement of precious metals, equal to approximately 31.1035 grams. It is traditionally used in the trading of gold, silver, and other precious metals, with origins dating back to the Roman Empire."
pennyweight,dwt,643.014931372549,"The pennyweight (dwt) is a unit of mass used in the troy weight system, equal to one-twentieth of a troy ounce or approximately 1.55517 grams. It is commonly used in the jewelry industry to measure the weight of precious metals."
carob seed,,5000,"The carob seed is an ancient unit of mass used as the basis for the carat, historically equal to approximately 200 milligrams. It was used in trade to weigh gemstones and precious metals. The consistency of carob seeds led to their use as a standard for small weight measurements."
centigram,cg,1e5,"The centigram (cg) is a unit of mass in the metric system, equal to one-hundredth of a gram, or 0.01 grams. It is used in scientific measurements where precise, small quantities are needed, such as in chemistry and pharmacology."
